Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
SDP,NL,1991,636,646,84,0.31,0.36,0.24,0,NaN,NaN,162,NaN,NaN
SEA,AL,1991,702,674,83,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1991,649,697,75,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1991,651,648,84,0.32,0.36,0.26,0,NaN,NaN,162,NaN,NaN
TEX,AL,1991,829,814,85,0.34,0.42,0.27,0,NaN,NaN,162,NaN,NaN
TOR,AL,1991,684,622,91,0.32,0.40,0.26,1,4.00,3.00,162,NaN,NaN
ATL,NL,1990,682,821,65,0.31,0.40,0.25,0,NaN,NaN,162,NaN,NaN
BAL,AL,1990,669,698,76,0.33,0.37,0.24,0,NaN,NaN,161,NaN,NaN
BOS,AL,1990,699,664,88,0.34,0.40,0.27,1,4.00,3.00,162,NaN,NaN
CAL,AL,1990,690,706,80,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1990,690,774,77,0.31,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CHW,AL,1990,682,633,94,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1990,693,597,91,0.33,0.40,0.27,1,3.00,1.00,162,NaN,NaN
CLE,AL,1990,732,737,77,0.32,0.39,0.27,0,NaN,NaN,162,NaN,NaN
DET,AL,1990,750,754,79,0.34,0.41,0.26,0,NaN,NaN,162,NaN,NaN
HOU,NL,1990,573,656,75,0.31,0.34,0.24,0,NaN,NaN,162,NaN,NaN
KCR,AL,1990,707,709,75,0.33,0.40,0.27,0,NaN,NaN,161,NaN,NaN
LAD,NL,1990,728,685,86,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIL,AL,1990,732,760,74,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIN,AL,1990,666,729,74,0.32,0.39,0.27,0,NaN,NaN,162,NaN,NaN
MON,NL,1990,662,598,85,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
NYM,NL,1990,775,613,91,0.32,0.41,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1990,603,749,67,0.30,0.37,0.24,0,NaN,NaN,162,NaN,NaN
OAK,AL,1990,733,570,103,0.34,0.39,0.25,1,1.00,2.00,162,NaN,NaN
PHI,NL,1990,646,729,77,0.33,0.36,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1990,733,619,95,0.33,0.41,0.26,1,2.00,3.00,162,NaN,NaN
SDP,NL,1990,673,673,75,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1990,640,680,77,0.33,0.37,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1990,719,710,85,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
STL,NL,1990,599,698,70,0.32,0.36,0.26,0,NaN,NaN,162,NaN,NaN
TEX,AL,1990,676,696,83,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
TOR,AL,1990,767,661,86,0.33,0.42,0.27,0,NaN,NaN,162,NaN,NaN
ATL,NL,1989,584,680,63,0.30,0.35,0.23,0,NaN,NaN,161,NaN,NaN
BAL,AL,1989,708,686,87,0.33,0.38,0.25,0,NaN,NaN,162,NaN,NaN
BOS,AL,1989,774,735,83,0.35,0.40,0.28,0,NaN,NaN,162,NaN,NaN
CAL,AL,1989,669,578,91,0.31,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1989,702,623,93,0.32,0.39,0.26,1,2.00,3.00,162,NaN,NaN
CHW,AL,1989,693,750,69,0.33,0.38,0.27,0,NaN,NaN,161,NaN,NaN
CIN,NL,1989,632,691,75,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
CLE,AL,1989,604,654,73,0.31,0.36,0.24,0,NaN,NaN,162,NaN,NaN
DET,AL,1989,617,816,59,0.32,0.35,0.24,0,NaN,NaN,162,NaN,NaN
HOU,NL,1989,647,669,86,0.31,0.34,0.24,0,NaN,NaN,162,NaN,NaN
KCR,AL,1989,690,635,92,0.33,0.37,0.26,0,NaN,NaN,162,NaN,NaN
LAD,NL,1989,554,536,77,0.31,0.34,0.24,0,NaN,NaN,160,NaN,NaN
MIL,AL,1989,707,679,81,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIN,AL,1989,740,738,80,0.33,0.40,0.28,0,NaN,NaN,162,NaN,NaN
MON,NL,1989,632,630,81,0.32,0.36,0.25,0,NaN,NaN,162,NaN,NaN
NYM,NL,1989,683,595,87,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
NYY,AL,1989,698,792,74,0.33,0.39,0.27,0,NaN,NaN,161,NaN,NaN
OAK,AL,1989,712,576,99,0.33,0.38,0.26,1,1.00,1.00,162,NaN,NaN
PHI,NL,1989,629,735,67,0.31,0.36,0.24,0,NaN,NaN,163,NaN,NaN
PIT,NL,1989,637,680,74,0.31,0.36,0.24,0,NaN,NaN,164,NaN,NaN
SDP,NL,1989,642,626,89,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
SEA,AL,1989,694,728,73,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1989,699,600,92,0.32,0.39,0.25,1,3.00,2.00,162,NaN,NaN
STL,NL,1989,632,608,86,0.32,0.36,0.26,0,NaN,NaN,164,NaN,NaN
TEX,AL,1989,695,714,83,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
TOR,AL,1989,731,651,89,0.32,0.40,0.26,1,4.00,3.00,162,NaN,NaN
ATL,NL,1988,555,741,54,0.30,0.35,0.24,0,NaN,NaN,160,NaN,NaN
BAL,AL,1988,550,789,54,0.30,0.36,0.24,0,NaN,NaN,161,NaN,NaN
BOS,AL,1988,813,689,89,0.36,0.42,0.28,1,4.00,3.00,162,NaN,NaN
CAL,AL,1988,714,771,75,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1988,660,694,77,0.31,0.38,0.26,0,NaN,NaN,163,NaN,NaN
CHW,AL,1988,631,757,71,0.30,0.37,0.24,0,NaN,NaN,161,NaN,NaN
CIN,NL,1988,641,596,87,0.31,0.37,0.25,0,NaN,NaN,161,NaN,NaN
CLE,AL,1988,666,731,78,0.31,0.39,0.26,0,NaN,NaN,162,NaN,NaN
DET,AL,1988,703,658,88,0.32,0.38,0.25,0,NaN,NaN,162,NaN,NaN
HOU,NL,1988,617,631,82,0.31,0.35,0.24,0,NaN,NaN,162,NaN,NaN
KCR,AL,1988,704,648,84,0.32,0.39,0.26,0,NaN,NaN,161,NaN,NaN
LAD,NL,1988,628,544,94,0.30,0.35,0.25,1,3.00,1.00,162,NaN,NaN
MIL,AL,1988,682,616,87,0.31,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIN,AL,1988,759,672,91,0.34,0.42,0.27,0,NaN,NaN,162,NaN,NaN
MON,NL,1988,628,592,81,0.31,0.37,0.25,0,NaN,NaN,163,NaN,NaN
NYM,NL,1988,703,532,100,0.33,0.40,0.26,1,2.00,3.00,160,NaN,NaN
NYY,AL,1988,772,748,85,0.33,0.40,0.26,0,NaN,NaN,161,NaN,NaN
OAK,AL,1988,800,620,104,0.34,0.40,0.26,1,1.00,2.00,162,NaN,NaN
PHI,NL,1988,597,734,65,0.31,0.35,0.24,0,NaN,NaN,162,NaN,NaN
PIT,NL,1988,651,616,85,0.32,0.37,0.25,0,NaN,NaN,160,NaN,NaN
SDP,NL,1988,594,583,83,0.31,0.35,0.25,0,NaN,NaN,161,NaN,NaN
SEA,AL,1988,664,744,68,0.32,0.40,0.26,0,NaN,NaN,161,NaN,NaN
SFG,NL,1988,670,626,83,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1988,578,633,76,0.31,0.34,0.25,0,NaN,NaN,162,NaN,NaN
TEX,AL,1988,637,735,70,0.32,0.37,0.25,0,NaN,NaN,161,NaN,NaN
TOR,AL,1988,763,680,87,0.33,0.42,0.27,0,NaN,NaN,162,NaN,NaN
ATL,NL,1987,747,829,69,0.34,0.40,0.26,0,NaN,NaN,161,NaN,NaN
BAL,AL,1987,729,880,67,0.32,0.42,0.26,0,NaN,NaN,162,NaN,NaN
BOS,AL,1987,842,825,78,0.35,0.43,0.28,0,NaN,NaN,162,NaN,NaN
CAL,AL,1987,770,803,75,0.33,0.40,0.25,0,NaN,NaN,162,NaN,NaN
CHC,NL,1987,720,801,76,0.33,0.43,0.26,0,NaN,NaN,161,NaN,NaN
CHW,AL,1987,748,746,77,0.32,0.41,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1987,783,752,84,0.33,0.43,0.27,0,NaN,NaN,162,NaN,NaN
CLE,AL,1987,742,957,61,0.32,0.42,0.26,0,NaN,NaN,162,NaN,NaN
DET,AL,1987,896,735,98,0.35,0.45,0.27,1,1.00,3.00,162,NaN,NaN
HOU,NL,1987,648,678,76,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
KCR,AL,1987,715,691,83,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
LAD,NL,1987,635,675,73,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
MIL,AL,1987,862,817,91,0.35,0.43,0.28,0,NaN,NaN,162,NaN,NaN
MIN,AL,1987,786,806,85,0.33,0.43,0.26,1,4.00,1.00,162,NaN,NaN
MON,NL,1987,741,720,91,0.33,0.40,0.27,0,NaN,NaN,162,NaN,NaN
NYM,NL,1987,823,698,92,0.34,0.43,0.27,0,NaN,NaN,162,NaN,NaN
NYY,AL,1987,788,758,89,0.34,0.42,0.26,0,NaN,NaN,162,NaN,NaN
OAK,AL,1987,806,789,81,0.33,0.43,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1987,702,749,80,0.33,0.41,0.25,0,NaN,NaN,162,NaN,NaN
PIT,NL,1987,723,744,80,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
SDP,NL,1987,668,763,65,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1987,760,801,78,0.34,0.43,0.27,0,NaN,NaN,162,NaN,NaN
SFG,NL,1987,783,669,90,0.32,0.43,0.26,1,3.00,3.00,162,NaN,NaN
STL,NL,1987,798,693,95,0.34,0.38,0.26,1,2.00,2.00,162,NaN,NaN
TEX,AL,1987,823,849,75,0.33,0.43,0.27,0,NaN,NaN,162,NaN,NaN
TOR,AL,1987,845,655,96,0.34,0.45,0.27,0,NaN,NaN,162,NaN,NaN
ATL,NL,1986,615,719,72,0.32,0.38,0.25,0,NaN,NaN,161,NaN,NaN
BAL,AL,1986,708,760,73,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
BOS,AL,1986,794,696,95,0.35,0.41,0.27,1,3.00,2.00,161,NaN,NaN
CAL,AL,1986,786,684,92,0.34,0.40,0.26,1,4.00,3.00,162,NaN,NaN
CHC,NL,1986,680,781,70,0.32,0.40,0.26,0,NaN,NaN,160,NaN,NaN
CHW,AL,1986,644,699,72,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
CIN,NL,1986,732,717,86,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
CLE,AL,1986,831,841,84,0.34,0.43,0.28,0,NaN,NaN,163,NaN,NaN
DET,AL,1986,798,714,87,0.34,0.42,0.26,0,NaN,NaN,162,NaN,NaN
HOU,NL,1986,654,569,96,0.32,0.38,0.26,1,2.00,3.00,162,NaN,NaN
KCR,AL,1986,654,673,76,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
LAD,NL,1986,638,679,73,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
MIL,AL,1986,667,734,77,0.32,0.39,0.26,0,NaN,NaN,161,NaN,NaN
MIN,AL,1986,741,839,71,0.33,0.43,0.26,0,NaN,NaN,162,NaN,NaN
MON,NL,1986,637,688,78,0.32,0.38,0.25,0,NaN,NaN,161,NaN,NaN
NYM,NL,1986,783,578,108,0.34,0.40,0.26,1,1.00,1.00,162,NaN,NaN
NYY,AL,1986,797,738,90,0.35,0.43,0.27,0,NaN,NaN,162,NaN,NaN
OAK,AL,1986,731,760,76,0.32,0.39,0.25,0,NaN,NaN,162,NaN,NaN
PHI,NL,1986,739,713,86,0.33,0.40,0.25,0,NaN,NaN,161,NaN,NaN
PIT,NL,1986,663,700,64,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
SDP,NL,1986,656,723,74,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1986,718,835,67,0.33,0.40,0.25,0,NaN,NaN,162,NaN,NaN
SFG,NL,1986,698,618,83,0.32,0.38,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1986,601,611,79,0.31,0.33,0.24,0,NaN,NaN,161,NaN,NaN
TEX,AL,1986,771,743,87,0.33,0.43,0.27,0,NaN,NaN,162,NaN,NaN
TOR,AL,1986,809,733,86,0.33,0.43,0.27,0,NaN,NaN,163,NaN,NaN
ATL,NL,1985,632,781,66,0.32,0.36,0.25,0,NaN,NaN,162,NaN,NaN
BAL,AL,1985,818,764,83,0.34,0.43,0.26,0,NaN,NaN,161,NaN,NaN
BOS,AL,1985,800,720,81,0.35,0.43,0.28,0,NaN,NaN,163,NaN,NaN
CAL,AL,1985,732,703,90,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
CHC,NL,1985,686,729,77,0.32,0.39,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1985,736,720,85,0.32,0.39,0.25,0,NaN,NaN,163,NaN,NaN
CIN,NL,1985,677,666,89,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1985,729,861,60,0.32,0.39,0.27,0,NaN,NaN,162,NaN,NaN
DET,AL,1985,729,688,84,0.32,0.42,0.25,0,NaN,NaN,161,NaN,NaN
HOU,NL,1985,706,691,83,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
KCR,AL,1985,687,639,91,0.31,0.40,0.25,1,4.00,1.00,162,NaN,NaN
LAD,NL,1985,682,579,95,0.33,0.38,0.26,1,3.00,3.00,162,NaN,NaN
MIL,AL,1985,690,802,71,0.32,0.38,0.26,0,NaN,NaN,161,NaN,NaN
MIN,AL,1985,705,782,77,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
MON,NL,1985,633,636,84,0.31,0.38,0.25,0,NaN,NaN,161,NaN,NaN
NYM,NL,1985,695,568,98,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1985,839,660,97,0.34,0.42,0.27,0,NaN,NaN,161,NaN,NaN
OAK,AL,1985,757,787,77,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1985,667,673,75,0.31,0.38,0.24,0,NaN,NaN,162,NaN,NaN
PIT,NL,1985,568,708,57,0.31,0.35,0.25,0,NaN,NaN,161,NaN,NaN
SDP,NL,1985,650,622,83,0.32,0.37,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1985,719,818,74,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1985,556,674,62,0.30,0.35,0.23,0,NaN,NaN,162,NaN,NaN
STL,NL,1985,747,572,101,0.34,0.38,0.26,1,1.00,2.00,162,NaN,NaN
TEX,AL,1985,617,785,62,0.32,0.38,0.25,0,NaN,NaN,161,NaN,NaN
TOR,AL,1985,759,588,99,0.33,0.42,0.27,1,2.00,3.00,161,NaN,NaN
ATL,NL,1984,632,655,80,0.32,0.36,0.25,0,NaN,NaN,162,NaN,NaN
BAL,AL,1984,681,667,85,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
BOS,AL,1984,810,764,86,0.34,0.44,0.28,0,NaN,NaN,162,NaN,NaN
CAL,AL,1984,696,697,81,0.32,0.38,0.25,0,NaN,NaN,162,NaN,NaN
CHC,NL,1984,762,658,96,0.33,0.40,0.26,1,2.00,3.00,161,NaN,NaN
CHW,AL,1984,679,736,74,0.31,0.40,0.25,0,NaN,NaN,162,NaN,NaN
CIN,NL,1984,627,747,70,0.31,0.36,0.24,0,NaN,NaN,162,NaN,NaN
CLE,AL,1984,761,766,75,0.34,0.38,0.27,0,NaN,NaN,163,NaN,NaN
DET,AL,1984,829,643,104,0.34,0.43,0.27,1,1.00,1.00,162,NaN,NaN
HOU,NL,1984,693,630,80,0.32,0.37,0.26,0,NaN,NaN,162,NaN,NaN
KCR,AL,1984,673,686,84,0.32,0.40,0.27,1,4.00,3.00,162,NaN,NaN
LAD,NL,1984,580,600,79,0.31,0.35,0.24,0,NaN,NaN,162,NaN,NaN
MIL,AL,1984,641,734,67,0.32,0.37,0.26,0,NaN,NaN,161,NaN,NaN
MIN,AL,1984,673,675,81,0.32,0.39,0.27,0,NaN,NaN,162,NaN,NaN
MON,NL,1984,593,585,78,0.31,0.36,0.25,0,NaN,NaN,161,NaN,NaN
NYM,NL,1984,652,676,90,0.32,0.37,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1984,758,679,87,0.34,0.40,0.28,0,NaN,NaN,162,NaN,NaN
OAK,AL,1984,738,796,77,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1984,720,690,81,0.33,0.41,0.27,0,NaN,NaN,162,NaN,NaN
PIT,NL,1984,615,567,75,0.31,0.36,0.26,0,NaN,NaN,162,NaN,NaN
SDP,NL,1984,686,634,92,0.32,0.37,0.26,1,3.00,2.00,162,NaN,NaN
SEA,AL,1984,682,774,74,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1984,682,807,66,0.33,0.38,0.27,0,NaN,NaN,162,NaN,NaN
STL,NL,1984,652,645,84,0.32,0.35,0.25,0,NaN,NaN,162,NaN,NaN
TEX,AL,1984,656,714,69,0.31,0.38,0.26,0,NaN,NaN,161,NaN,NaN
TOR,AL,1984,750,696,89,0.33,0.42,0.27,0,NaN,NaN,163,NaN,NaN
ATL,NL,1983,746,640,88,0.34,0.40,0.27,0,NaN,NaN,162,NaN,NaN
BAL,AL,1983,799,652,98,0.34,0.42,0.27,1,2.00,1.00,162,NaN,NaN
BOS,AL,1983,724,775,78,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
CAL,AL,1983,722,779,70,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1983,701,719,71,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CHW,AL,1983,800,650,99,0.33,0.41,0.26,1,1.00,3.00,162,NaN,NaN
CIN,NL,1983,623,710,74,0.31,0.36,0.24,0,NaN,NaN,162,NaN,NaN
CLE,AL,1983,704,785,70,0.34,0.37,0.27,0,NaN,NaN,162,NaN,NaN
DET,AL,1983,789,679,92,0.34,0.43,0.27,0,NaN,NaN,162,NaN,NaN
HOU,NL,1983,643,646,85,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
KCR,AL,1983,696,767,79,0.32,0.40,0.27,0,NaN,NaN,163,NaN,NaN
LAD,NL,1983,654,609,91,0.32,0.38,0.25,1,3.00,3.00,163,NaN,NaN
MIL,AL,1983,764,708,87,0.33,0.42,0.28,0,NaN,NaN,162,NaN,NaN
MIN,AL,1983,709,822,70,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
MON,NL,1983,677,646,82,0.33,0.39,0.26,0,NaN,NaN,163,NaN,NaN
NYM,NL,1983,575,680,68,0.30,0.34,0.24,0,NaN,NaN,162,NaN,NaN
NYY,AL,1983,770,703,91,0.34,0.42,0.27,0,NaN,NaN,162,NaN,NaN
OAK,AL,1983,708,782,74,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1983,696,635,90,0.33,0.37,0.25,1,4.00,2.00,163,NaN,NaN
PIT,NL,1983,659,648,84,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
SDP,NL,1983,653,653,81,0.31,0.35,0.25,0,NaN,NaN,163,NaN,NaN
SEA,AL,1983,558,740,60,0.30,0.36,0.24,0,NaN,NaN,162,NaN,NaN
SFG,NL,1983,687,697,79,0.33,0.38,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1983,679,710,79,0.34,0.38,0.27,0,NaN,NaN,162,NaN,NaN
TEX,AL,1983,639,609,77,0.31,0.37,0.26,0,NaN,NaN,163,NaN,NaN
TOR,AL,1983,795,726,89,0.34,0.44,0.28,0,NaN,NaN,162,NaN,NaN
ATL,NL,1982,739,702,89,0.33,0.38,0.26,1,4.00,3.00,162,NaN,NaN
BAL,AL,1982,774,687,94,0.34,0.42,0.27,0,NaN,NaN,163,NaN,NaN
BOS,AL,1982,753,713,89,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
CAL,AL,1982,814,670,93,0.35,0.43,0.27,1,2.00,3.00,162,NaN,NaN
CHC,NL,1982,676,709,73,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CHW,AL,1982,786,710,87,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
CIN,NL,1982,545,661,61,0.31,0.35,0.25,0,NaN,NaN,162,NaN,NaN
CLE,AL,1982,683,748,78,0.34,0.37,0.26,0,NaN,NaN,162,NaN,NaN
DET,AL,1982,729,685,83,0.32,0.42,0.27,0,NaN,NaN,162,NaN,NaN
HOU,NL,1982,569,620,77,0.30,0.35,0.25,0,NaN,NaN,162,NaN,NaN
KCR,AL,1982,784,717,90,0.34,0.43,0.28,0,NaN,NaN,162,NaN,NaN
LAD,NL,1982,691,612,88,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
MIL,AL,1982,891,717,95,0.34,0.46,0.28,1,1.00,2.00,163,NaN,NaN
MIN,AL,1982,657,819,60,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
MON,NL,1982,697,616,86,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
NYM,NL,1982,609,723,65,0.30,0.35,0.25,0,NaN,NaN,162,NaN,NaN
NYY,AL,1982,709,716,79,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
OAK,AL,1982,691,819,68,0.31,0.37,0.24,0,NaN,NaN,162,NaN,NaN
PHI,NL,1982,664,654,89,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1982,724,696,84,0.33,0.41,0.27,0,NaN,NaN,162,NaN,NaN
SDP,NL,1982,675,658,81,0.31,0.36,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1982,651,712,76,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
SFG,NL,1982,673,687,87,0.33,0.38,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1982,685,609,92,0.33,0.36,0.26,1,3.00,1.00,162,NaN,NaN
TEX,AL,1982,590,749,64,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
TOR,AL,1982,651,701,78,0.31,0.38,0.26,0,NaN,NaN,162,NaN,NaN
ATL,NL,1980,630,660,81,0.31,0.38,0.25,0,NaN,NaN,161,NaN,NaN
BAL,AL,1980,805,640,100,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
BOS,AL,1980,757,767,83,0.34,0.44,0.28,0,NaN,NaN,160,NaN,NaN
CAL,AL,1980,698,797,65,0.33,0.38,0.27,0,NaN,NaN,160,NaN,NaN
CHC,NL,1980,614,728,64,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1980,587,722,70,0.31,0.37,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1980,707,670,89,0.33,0.39,0.26,0,NaN,NaN,163,NaN,NaN
CLE,AL,1980,738,807,79,0.35,0.38,0.28,0,NaN,NaN,160,NaN,NaN
DET,AL,1980,830,757,84,0.35,0.41,0.27,0,NaN,NaN,163,NaN,NaN
HOU,NL,1980,637,589,93,0.33,0.37,0.26,1,3.00,3.00,163,NaN,NaN
KCR,AL,1980,809,694,97,0.34,0.41,0.29,1,2.00,2.00,162,NaN,NaN
LAD,NL,1980,663,591,92,0.32,0.39,0.26,0,NaN,NaN,163,NaN,NaN
MIL,AL,1980,811,682,86,0.33,0.45,0.28,0,NaN,NaN,162,NaN,NaN
MIN,AL,1980,670,724,77,0.32,0.38,0.27,0,NaN,NaN,161,NaN,NaN
MON,NL,1980,694,629,90,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
NYM,NL,1980,611,702,67,0.32,0.34,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1980,820,662,103,0.34,0.42,0.27,1,1.00,3.00,162,NaN,NaN
OAK,AL,1980,686,642,83,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1980,728,639,91,0.33,0.40,0.27,1,4.00,1.00,162,NaN,NaN
PIT,NL,1980,666,646,83,0.32,0.39,0.27,0,NaN,NaN,162,NaN,NaN
SDP,NL,1980,591,654,73,0.32,0.34,0.26,0,NaN,NaN,163,NaN,NaN
SEA,AL,1980,610,793,59,0.31,0.36,0.25,0,NaN,NaN,163,NaN,NaN
SFG,NL,1980,573,634,75,0.31,0.34,0.24,0,NaN,NaN,161,NaN,NaN
STL,NL,1980,738,710,74,0.33,0.40,0.28,0,NaN,NaN,162,NaN,NaN
TEX,AL,1980,756,752,76,0.34,0.41,0.28,0,NaN,NaN,163,NaN,NaN
TOR,AL,1980,624,762,67,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
ATL,NL,1979,669,763,66,0.32,0.38,0.26,0,NaN,NaN,160,NaN,NaN
BAL,AL,1979,757,582,102,0.34,0.42,0.26,1,1.00,2.00,159,NaN,NaN
BOS,AL,1979,841,711,91,0.34,0.46,0.28,0,NaN,NaN,160,NaN,NaN
CAL,AL,1979,866,768,88,0.35,0.43,0.28,1,4.00,3.00,162,NaN,NaN
CHC,NL,1979,706,707,80,0.33,0.40,0.27,0,NaN,NaN,162,NaN,NaN
CHW,AL,1979,730,748,73,0.33,0.41,0.28,0,NaN,NaN,160,NaN,NaN
CIN,NL,1979,731,644,90,0.34,0.40,0.26,1,3.00,3.00,161,NaN,NaN
CLE,AL,1979,760,805,81,0.34,0.38,0.26,0,NaN,NaN,161,NaN,NaN
DET,AL,1979,770,738,84,0.34,0.41,0.27,0,NaN,NaN,161,NaN,NaN
HOU,NL,1979,583,582,89,0.32,0.34,0.26,0,NaN,NaN,162,NaN,NaN
KCR,AL,1979,851,816,85,0.34,0.42,0.28,0,NaN,NaN,162,NaN,NaN
LAD,NL,1979,739,717,79,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
MIL,AL,1979,807,722,95,0.34,0.45,0.28,0,NaN,NaN,161,NaN,NaN
MIN,AL,1979,764,725,82,0.34,0.40,0.28,0,NaN,NaN,162,NaN,NaN
MON,NL,1979,701,581,95,0.32,0.41,0.26,0,NaN,NaN,160,NaN,NaN
NYM,NL,1979,593,706,63,0.31,0.35,0.25,0,NaN,NaN,163,NaN,NaN
NYY,AL,1979,734,672,89,0.33,0.41,0.27,0,NaN,NaN,160,NaN,NaN
OAK,AL,1979,573,860,54,0.30,0.35,0.24,0,NaN,NaN,162,NaN,NaN
PHI,NL,1979,683,718,84,0.34,0.40,0.27,0,NaN,NaN,163,NaN,NaN
PIT,NL,1979,775,643,98,0.33,0.42,0.27,1,2.00,1.00,163,NaN,NaN
SDP,NL,1979,603,681,68,0.31,0.35,0.24,0,NaN,NaN,161,NaN,NaN
SEA,AL,1979,711,820,67,0.33,0.40,0.27,0,NaN,NaN,162,NaN,NaN
SFG,NL,1979,672,751,71,0.32,0.36,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1979,731,693,86,0.33,0.40,0.28,0,NaN,NaN,163,NaN,NaN
TEX,AL,1979,750,698,83,0.33,0.41,0.28,0,NaN,NaN,162,NaN,NaN
